profile_id	shape_id	behavior_class	amplitude	approach_power	A_source	source_x	status	endpoint_reached	numerically_certified	affine_final	endpoint_x_observed	endpoint_det_D	minimum_D_singular_value_sampled	caustic_sign_change_sampled	null_residual	screen_gram_residual	screen_ray_residual	p_t_residual	p_psi_residual	nfev
G75_F01_AM	ZERO	ZERO_MIXING_CONTROL	0	4	0.0625	1.9364916731037085	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	1.6998238305575941	1.9364916731037085	2.8894010549314393	0	False	1.7076111295083633e-15	1.8429702208777599e-14	0	5.2402526762307389e-14	0	10202
G75_F01_AM	ZERO	ZERO_MIXING_CONTROL	0	8	0.00390625	1.9960899278339139	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	1.7598932250680226	1.9960899278339139	3.0972241636399573	0	False	6.6157003313566528e-15	1.8207657603852567e-14	0	3.6015079807327766e-11	0	10745
G75_F01_AM	ZERO	ZERO_MIXING_CONTROL	0	12	0.000244140625	1.9997558444720196	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	1.7635881217356928	1.9997558444720196	3.1102430631255542	0	False	6.6348952550252134e-15	1.865174681370263e-14	0	1.2083334333112816e-11	0	11258
G75_AM_S01_E05	S01	CENTER_OFF_NO_INTERIOR_ROOT	0.050000000000000003	4	0.0625	1.9364916731037085	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	2.2381571120118289	1.9364916731037085	3.5244317752960148	0	False	1.0138104416806034e-15	9.5479180117763462e-15	3.9968028886505635e-15	4.5519144009631418e-15	5.5548623968844357e-15	13442
G75_AM_S01_E05	S01	CENTER_OFF_NO_INTERIOR_ROOT	0.050000000000000003	8	0.00390625	1.9960899278339139	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	2.8140693374895829	1.9960899278339139	4.4721118822712098	0	False	1.3619427941539864e-15	1.0436096431476471e-14	1.099120794378905e-14	6.5503158452884236e-15	5.776907001809467e-15	16892
G75_AM_S01_E05	S01	CENTER_OFF_NO_INTERIOR_ROOT	0.050000000000000003	12	0.000244140625	1.9997558444720196	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	2.964788316688959	1.9997558444720196	4.7066063513962799	0	False	1.2688606300234897e-15	2.9154456626656611e-13	4.4642067820177544e-13	6.4392935428259079e-15	5.3328177919594044e-15	17792
G75_AM_S01_E20	S01	CENTER_OFF_NO_INTERIOR_ROOT	0.20000000000000001	4	0.0625	1.9364916731037085	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	4.7980140460132583	1.9364916731037085	6.6739918894967296	0	False	1.6962342988535717e-15	8.8817841970012523e-15	1.7763568394002505e-15	5.6621374255882984e-15	3.9818137936159514e-15	28802
G75_AM_S01_E20	S01	CENTER_OFF_NO_INTERIOR_ROOT	0.20000000000000001	8	0.00390625	1.9960899278339139	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	7.0877803548643756	1.9960899278339139	10.481501933367014	0	False	2.2256124485012994e-15	4.496403249731884e-14	1.4738210651898953e-14	5.8841820305133297e-15	3.9818137936159514e-15	42542
G75_AM_S01_E20	S01	CENTER_OFF_NO_INTERIOR_ROOT	0.20000000000000001	12	0.000244140625	1.9997558444720196	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	7.6903763665236902	1.9997558444720196	11.542307555973048	0	False	4.7365051317924437e-15	1.4555023852835802e-13	5.2860493759965266e-14	9.3258734068513149e-15	3.8707914911534358e-15	46157
G75_AM_S01_E50	S01	CENTER_OFF_NO_INTERIOR_ROOT	0.5	4	0.0625	1.9364916731037085	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	10.293813813714417	1.9364916731037085	15.739313544110733	0	False	9.3983236813288762e-16	2.5313084961453569e-14	1.9428902930940239e-15	2.5646151868841116e-14	6.4850739795591084e-15	61772
G75_AM_S01_E50	S01	CENTER_OFF_NO_INTERIOR_ROOT	0.5	8	0.00390625	1.9960899278339139	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	16.011810778220866	1.9960899278339139	28.809247908174108	0	False	1.8907969198049372e-15	3.8302694349567901e-14	5.6760152133961128e-15	2.4646951146678475e-14	6.4295628283278505e-15	96077
G75_AM_S01_E50	S01	CENTER_OFF_NO_INTERIOR_ROOT	0.5	12	0.000244140625	1.9997558444720196	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	17.517024973509653	1.9997558444720196	32.683649314988664	0	False	2.1306927440933529e-15	4.0367709175370692e-13	6.1582683397176652e-14	2.5313084961453569e-14	6.4295628283278505e-15	105107
