transform_id	payload	defined_rows	active_rows	inactive_rows	uncertain_rows	min_active_max_abs	max_inactive_max_abs	max_observed_abs	activity_threshold
C04_CROSS_GENERAL_INVERSE	metric_twojet	5760	1536	4224	0	0.005335680264164696	8.881784197001252e-16	0.4576835434932933	1e-09
C04_CROSS_GENERAL_INVERSE	riemann	5760	2640	3120	0	9.297398631137772e-06	1.1102230246251565e-16	0.1897486482726293	1e-09
C04_CROSS_GENERAL_INVERSE	weyl	5760	2640	3120	0	4.28938548888147e-06	1.560166926206641e-16	0.11658079971012986	1e-09
C04_CROSS_GENERAL_INVERSE	ricci	5760	2640	3120	0	8.056833208425207e-06	1.6653345369377348e-16	0.2795608553446959	1e-09
C04_CROSS_GENERAL_INVERSE	scalar	5760	2640	3120	0	5.352174795442144e-07	2.220446049250313e-16	0.5873251103423172	1e-09
C04_CROSS_GENERAL_INVERSE	cartan_curvature	5760	2640	3120	0	8.051113839383471e-06	1.5265566588595902e-16	0.17120746118455848	1e-09
C04_CROSS_GENERAL_INVERSE	phi_twojet	5760	384	5376	0	0.0031208137844341006	0.0	0.16948159040118596	1e-09
C04_CROSS_GENERAL_INVERSE	split_slot_twojet	5760	2640	3120	0	7.005426840697368e-07	2.3592239273284576e-16	0.4576835434932933	1e-09
C04_CROSS_GENERAL_INVERSE	split_shear	5760	2496	3264	22	1.9235995182137477e-08	9.71445146547012e-17	0.20389564899376045	1e-09
C04_CROSS_GENERAL_INVERSE	split_twist	5760	2496	3264	6	2.5795556971713873e-08	8.326672684688674e-17	0.2500226225658018	1e-09
C05_SWAP_DEPTH_SCREEN	metric_twojet	5760	1536	4224	0	0.00519227838155082	2.220446049250313e-16	0.4295029928684306	1e-09
C05_SWAP_DEPTH_SCREEN	riemann	5760	2640	3120	0	8.487611927782048e-06	8.326672684688674e-17	0.21494353467341532	1e-09
C05_SWAP_DEPTH_SCREEN	weyl	5760	2640	3120	0	3.883374642736637e-06	1.700029006457271e-16	0.11463046821622723	1e-09
C05_SWAP_DEPTH_SCREEN	ricci	5760	2640	3120	0	8.19698409665337e-06	8.326672684688674e-17	0.2735316559566878	1e-09
C05_SWAP_DEPTH_SCREEN	scalar	5760	2640	3120	0	5.352174795442144e-07	2.220446049250313e-16	0.5873251103423172	1e-09
C05_SWAP_DEPTH_SCREEN	cartan_curvature	5760	2640	3120	0	8.038969805201565e-06	1.3877787807814457e-16	0.1835839997525966	1e-09
C05_SWAP_DEPTH_SCREEN	phi_twojet	5760	384	5376	0	0.0032258064516129006	0.0	0.17497013142174433	1e-09
C05_SWAP_DEPTH_SCREEN	split_slot_twojet	5760	2640	3120	0	9.157014873752492e-06	2.220446049250313e-16	0.4197101567606661	1e-09
C05_SWAP_DEPTH_SCREEN	split_shear	5760	2496	3264	0	2.661809998319442e-07	5.551115123125783e-17	0.1627953828164317	1e-09
C05_SWAP_DEPTH_SCREEN	split_twist	5760	2496	3264	0	1.9058907293340033e-07	1.1102230246251565e-16	0.20063080140720743	1e-09
C06_SWAP_TIME_SCREEN	metric_twojet	5760	1536	4224	0	0.00519227838155082	2.220446049250313e-16	0.4295029928684306	1e-09
C06_SWAP_TIME_SCREEN	riemann	5760	2640	3120	0	8.487611927782048e-06	8.326672684688674e-17	0.21494353467341532	1e-09
C06_SWAP_TIME_SCREEN	weyl	5760	2640	3120	0	3.883374642736637e-06	1.700029006457271e-16	0.11463046821622723	1e-09
C06_SWAP_TIME_SCREEN	ricci	5760	2640	3120	0	8.19698409665337e-06	8.326672684688674e-17	0.2735316559566878	1e-09
C06_SWAP_TIME_SCREEN	scalar	5760	2640	3120	0	5.352174795442144e-07	2.220446049250313e-16	0.5873251103423172	1e-09
C06_SWAP_TIME_SCREEN	cartan_curvature	5760	2640	3120	0	8.038969805204167e-06	1.1102230246251565e-16	0.1835839997525966	1e-09
C06_SWAP_TIME_SCREEN	phi_twojet	5760	384	5376	0	0.0032258064516129006	0.0	0.17497013142174433	1e-09
C06_SWAP_TIME_SCREEN	split_slot_twojet	0	0	0	0	0.0	0.0		1e-09
C06_SWAP_TIME_SCREEN	split_shear	0	0	0	0	0.0	0.0		1e-09
C06_SWAP_TIME_SCREEN	split_twist	0	0	0	0	0.0	0.0		1e-09
