family_id	motif	primitive_block_ranks	primitive_block_signatures	numeric_status	configurations
M14_H_D_RG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5760
M14_H_D_RG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M15_R_H_D_RG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5760
M15_R_H_D_RG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M16_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5376
M16_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	768
M17_R_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5376
M17_R_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	768
M18_H_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5376
M18_H_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M18_H_WG	TWO_PLUS_TWO_LINES	1;1;2	N0_P1_Z0;N0_P1_Z0;N1_P1_Z0	NUMERIC_CLASSIFIED	384
M19_R_H_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5376
M19_R_H_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M19_R_H_WG	TWO_PLUS_TWO_LINES	1;1;2	N0_P1_Z0;N0_P1_Z0;N1_P1_Z0	NUMERIC_CLASSIFIED	384
M20_D_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5376
M20_D_WG	LINE_PLUS_THREE	1;3	N0_P1_Z0;N1_P2_Z0	NUMERIC_CLASSIFIED	288
M20_D_WG	LINE_PLUS_THREE	1;3	N0_P3_Z0;N1_P0_Z0	NUMERIC_CLASSIFIED	96
M20_D_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M21_R_D_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5376
M21_R_D_WG	LINE_PLUS_THREE	1;3	N0_P1_Z0;N1_P2_Z0	NUMERIC_CLASSIFIED	288
M21_R_D_WG	LINE_PLUS_THREE	1;3	N0_P3_Z0;N1_P0_Z0	NUMERIC_CLASSIFIED	96
M21_R_D_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M22_H_D_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5760
