id	order	sector	seed_id	status	initial_norm	final_norm	raw_residual_inf	iterations	elapsed_seconds
U37	4	GENERAL	MIXED_04_0.20	NO_RESIDUAL_DECREASING_NEWTON_STEP	0.2	0.41947113480033227	26.385215071509933	3	5.157465148018673
U38	4	SEAL_EVEN	MIXED_04_0.20	NO_RESIDUAL_DECREASING_NEWTON_STEP	0.20000000000000004	0.4750691915542488	259.26132986051766	1	4.211259923875332
U39	4	SEAL_ODD_W	MIXED_04_0.20	NO_RESIDUAL_DECREASING_NEWTON_STEP	0.2	0.6202047795396426	235.86938054179325	1	4.2524109990336
U40	2	SEAL_EVEN	MIXED_05_0.20	NO_RESIDUAL_DECREASING_NEWTON_STEP	0.2	0.2609877732171626	2.7242031525766293	4	5.340537559008226
U41	2	SEAL_ODD_W	MIXED_05_0.20	NO_RESIDUAL_DECREASING_NEWTON_STEP	0.2	0.1635451321951133	3.363698264037232	3	5.3762571138795465
U42	4	GENERAL	MIXED_05_0.20	NO_RESIDUAL_DECREASING_NEWTON_STEP	0.19999999999999998	0.10823786871454923	1.0531533935138258	6	6.573314371984452
U43	4	SEAL_EVEN	MIXED_05_0.20	NO_RESIDUAL_DECREASING_NEWTON_STEP	0.2	0.5343709013732469	183.3212263831796	1	4.311540373135358
U44	4	SEAL_ODD_W	MIXED_05_0.20	NO_RESIDUAL_DECREASING_NEWTON_STEP	0.19999999999999996	0.5303466704255277	63.22800479285674	1	4.327173228142783
U45	2	SEAL_EVEN	MIXED_06_0.20	NO_RESIDUAL_DECREASING_NEWTON_STEP	0.2	0.3424051997622773	5.790188435469226	1	4.212926130043343
U46	4	GENERAL	MIXED_06_0.20	NO_RESIDUAL_DECREASING_NEWTON_STEP	0.2	0.37961045024358825	17.492909491340058	2	4.844791378127411
U47	4	SEAL_EVEN	MIXED_06_0.20	NO_RESIDUAL_DECREASING_NEWTON_STEP	0.2	0.020089084443070407	0.3622822446662242	5	6.321108092088252
U48	4	SEAL_ODD_W	MIXED_06_0.20	NO_RESIDUAL_DECREASING_NEWTON_STEP	0.20000000000000004	0.43536169812522973	191.94431127819811	1	4.2466886879410595
U49	2	SEAL_ODD_W	MIXED_07_0.20	NO_RESIDUAL_DECREASING_NEWTON_STEP	0.2	0.008691900781741207	0.08422747424550875	7	6.520355409942567
U50	4	SEAL_EVEN	MIXED_07_0.20	NO_RESIDUAL_DECREASING_NEWTON_STEP	0.20000000000000004	0.5474077945961218	291.62668419454775	1	4.253416324965656
U51	4	SEAL_ODD_W	MIXED_07_0.20	NO_RESIDUAL_DECREASING_NEWTON_STEP	0.2	0.6005547212087522	178.98782807782197	1	4.264817559858784
