K	knot_index	phi	z	pantheon_relative_shape_mag	pantheon_se	des_relative_shape_mag	des_se	difference_mag	difference_se
8	1	0.1696298410289495	0.18486618129005195	1.5900614872270638	0.026352998513422227	1.5944111455222767	0.0596454491635222	-0.004349658295212944	0.06520782266390088
8	2	0.26848440000885687	0.30798057238607546	2.395874007923293	0.02299164367273327	2.394168717809236	0.05242261272863537	0.0017052901140570675	0.05724286858701631
8	3	0.3673389589887642	0.44388725474189494	2.8610828890211493	0.0291773966973159	2.880302221676717	0.05403165412335905	-0.019219332655567634	0.06140635248358954
8	4	0.46619351796867153	0.5939154207794413	3.176093321218893	0.034595987746360544	3.2074758544359763	0.05360685885172177	-0.031382533217083175	0.06380107901983124
8	5	0.565048076948579	0.7595323736358126	3.3596749272502175	0.041297507114961975	3.4329511784048887	0.05486674245353436	-0.07327625115467118	0.06867199954401214
8	6	0.6639026359284862	0.9423578776586039	3.5672698694780087	0.10832781220747131	3.549737189107948	0.061877811211588085	0.017532680370060838	0.12475487332362656
8	7	0.7627571949083936	1.14418	3.9806903361837023	0.15779412757159972	3.5447135530795304	0.08501225455324841	0.43597678310417187	0.17923746851679365
12	1	0.13368272867261957	0.14303011142854213	1.21240363198103	0.032118235645564895	1.2560783495587928	0.08723042566326444	-0.043674717577762756	0.09295551743914042
12	2	0.196590175296197	0.21724508136503387	1.916845139083041	0.02791677378909867	1.9645148396528305	0.07292345920107592	-0.047669700569789475	0.07808442329070946
12	3	0.2594976219197744	0.2962787010532725	2.426378014005128	0.029817539156904535	2.474317370769655	0.07427465206191336	-0.04793935676452721	0.080036301640517
12	4	0.32240506854335177	0.3804438370948328	2.7575177154669244	0.03185968667886621	2.804879489323583	0.07364095174689732	-0.04736177385665874	0.08023733176934776
12	5	0.38531251516692916	0.47007366997908495	3.021623370024368	0.03621646895769016	3.0987204500243384	0.07420450464977658	-0.0770970799999704	0.08257082495701523
12	6	0.4482199617905066	0.5655230130288253	3.211629809664307	0.0404676220165247	3.280910795641331	0.07375684507594858	-0.06928098597702403	0.08412907123717576
12	7	0.511127408414084	0.667169716982769	3.3685171605428543	0.051537682338899805	3.468880212352545	0.07421816585011992	-0.10036305180969052	0.09035745040128818
12	8	0.5740348550376614	0.7754161657751555	3.4816928791972384	0.053336156618173196	3.58131787366827	0.07568576479489733	-0.09962499447103168	0.09259093149648523
12	9	0.6369423016612388	0.8906908694337404	3.370130834281432	0.15508962225655468	3.6562026371931005	0.08140584436270813	-0.28607180291166845	0.17515622292138602
12	10	0.6998497482848162	1.0134501604019002	3.938676575512312	0.10836473393789378	3.7103029898444135	0.08599651595223756	0.22837358566789856	0.13834130372869108
12	11	0.7627571949083936	1.14418	3.880883641978248	0.18940947445768	3.680700227128663	0.11164208227987601	0.20018341484958535	0.21986337473558695
16	1	0.11690740957299893	0.1240153518109236	0.9674025154836791	0.03631567939183983	1.1200977081262837	0.12603072752645092	-0.15269519264260467	0.13115857901996883
16	2	0.16303953709695568	0.17708322722216105	1.59407173369446	0.030956385587370558	1.6641702761190755	0.09464774169120604	-0.07009854242461544	0.09958158873948149
16	3	0.20917166462091247	0.23265658389406407	2.053386901021706	0.032816084912107135	2.1791839956157224	0.09652435792860935	-0.12579709459401656	0.10195021874664574
16	4	0.2553037921448692	0.29085371253073367	2.419541086988958	0.03336156395318589	2.518596824769222	0.0954879789295713	-0.09905573778026389	0.10114814911532867
16	5	0.301435919668826	0.35179848866777486	2.686174509515168	0.033864532506838935	2.7923921805097787	0.0951408793569022	-0.10621767099461055	0.10098808586517208
16	6	0.3475680471927827	0.4156206363476473	2.909990708123073	0.03882838660981672	3.015487302377422	0.0955668485794557	-0.10549659425434887	0.10315360465892605
16	7	0.39370017471673946	0.4824560042438596	3.0683223407541838	0.042184206155936	3.2179892559301186	0.0959188652446321	-0.1496669151759349	0.10478518959673834
16	8	0.43983230224069625	0.5524468548217508	3.2064013262244813	0.045670452622076856	3.327338959879635	0.0954110184247336	-0.12093763365515375	0.10577831857025437
16	9	0.48596442976465304	0.6257421671513519	3.3667225821699733	0.05164001565404759	3.506032912342082	0.09570028262991022	-0.1393103301721088	0.10874389781590035
16	10	0.5320965572886098	0.7024979540168821	3.411975547995527	0.052999191384954875	3.5865243504273856	0.09655638945470524	-0.17454880243185844	0.11014558834555194
16	11	0.5782286848125665	0.7828775939978602	3.536928827155027	0.06404252233188043	3.6746772110656334	0.0972784587117926	-0.13774838391060618	0.11646691889103677
16	12	0.6243608123365233	0.867052179228686	3.4456939356167164	0.1570227831846303	3.708752380116768	0.10224062781559388	-0.26305844450005145	0.1873747592798299
16	13	0.6704929398604801	0.9552008795769125	3.6395738321709232	0.1480986714309128	3.83171224192032	0.1057442861231325	-0.19213840974939655	0.18197546682806554
16	14	0.7166250673844368	1.0475113240153822	4.109145279395672	0.15941066493081918	3.726240606928189	0.11156507272792825	0.38290467246748294	0.19457267420291532
16	15	0.7627571949083936	1.14418	3.8410117606685614	0.20847817696769352	3.8186836049779065	0.13275506151508595	0.02232815569065494	0.24715795886365302
24	1	0.10086145217336179	0.10612338015632303	0.7080493089308797	0.0465598877279465	0.7406572666514133	0.14088648109342575	-0.0326079577205336	0.14838067158537596
24	2	0.13094762229768142	0.139908073982568	1.1956307254374439	0.03635728776858051	1.3406719606618596	0.12715262624897786	-0.1450412352244157	0.1322484129806465
24	3	0.16103379242200105	0.1747246649347663	1.5875765526666117	0.036749448378524584	1.6300941928829056	0.126467245148909	-0.042517640216293895	0.1316984663983605
24	4	0.1911199625463207	0.21060467058960602	1.913990463999571	0.03737377205775189	2.0075289624343235	0.12195856374823583	-0.09353849843475248	0.12755661531005477
24	5	0.22120613267064032	0.2475805711755893	2.181859087329074	0.03704598569725951	2.2891642682718825	0.12195295496291736	-0.1073051809428085	0.12745559336674442
24	6	0.2512923027949599	0.28568583897562644	2.391605722042995	0.038867772779661726	2.4898728531717293	0.12122341056779791	-0.09826713112873442	0.1273020778720454
24	7	0.28137847291927953	0.3249549686276837	2.637841740714461	0.03827850113404743	2.714907646131159	0.12071442016714659	-0.07706590541669778	0.12663812571796726
