B	abs_m	matrix	ell_i	ell_j	parity_i	parity_j	same_parity	value_q256	value_q512	abs_quad_difference	above_1e_minus_12
0	0	W	2	16	EVEN	EVEN	TRUE	-1.60936259978317064e-19	1.01220437196888891e-18	1.17314063194720597e-18	FALSE
0	0	W	3	3	ODD	ODD	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	7.58941520739853104e-19	TRUE
0	0	W	3	4	ODD	EVEN	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	3	5	ODD	ODD	TRUE	-4.72485565890289408e-20	4.87890977618476995e-19	5.35139534207505936e-19	FALSE
0	0	W	3	6	ODD	EVEN	FALSE	-1.35525271560688054e-20	-1.35525271560688054e-20	0.00000000000000000e+00	FALSE
0	0	W	3	7	ODD	ODD	TRUE	1.34201782580603210e-20	6.04781524339570442e-19	5.91361346081510121e-19	FALSE
0	0	W	3	8	ODD	EVEN	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	3	9	ODD	ODD	TRUE	-3.65282958503417021e-20	8.02987233997076721e-19	8.39515529847418424e-19	FALSE
0	0	W	3	10	ODD	EVEN	FALSE	-1.69406589450860068e-21	0.00000000000000000e+00	1.69406589450860068e-21	FALSE
0	0	W	3	11	ODD	ODD	TRUE	-2.23140242042304746e-20	9.29195143137967472e-19	9.51509167342197947e-19	FALSE
0	0	W	3	12	ODD	EVEN	FALSE	1.69406589450860068e-21	-8.47032947254300339e-22	2.54109884176290102e-21	FALSE
0	0	W	3	13	ODD	ODD	TRUE	-1.94764638309285684e-19	9.28348110190713172e-19	1.12311274849999886e-18	FALSE
0	0	W	3	14	ODD	EVEN	FALSE	-8.47032947254300339e-22	-5.08219768352580203e-21	4.23516473627150170e-21	FALSE
0	0	W	3	15	ODD	ODD	TRUE	-1.73694693746334963e-19	1.04947382164807812e-18	1.22316851539441308e-18	FALSE
0	0	W	3	16	ODD	EVEN	FALSE	8.47032947254300339e-22	2.54109884176290102e-21	1.69406589450860068e-21	FALSE
0	0	W	4	4	EVEN	EVEN	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	8.13151629364128326e-19	TRUE
0	0	W	4	5	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	4	6	EVEN	EVEN	TRUE	-4.65868120989865186e-20	5.42101086242752217e-19	5.88687898341738736e-19	FALSE
0	0	W	4	7	EVEN	ODD	FALSE	-1.35525271560688054e-20	-1.35525271560688054e-20	0.00000000000000000e+00	FALSE
0	0	W	4	8	EVEN	EVEN	TRUE	-3.04931861011548122e-20	7.58941520739853104e-19	7.89434706841007916e-19	FALSE
0	0	W	4	9	EVEN	ODD	FALSE	1.35525271560688054e-20	1.35525271560688054e-20	0.00000000000000000e+00	FALSE
0	0	W	4	10	EVEN	EVEN	TRUE	-5.42101086242752217e-20	1.12485975395371085e-18	1.17906986257798607e-18	FALSE
0	0	W	4	11	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	4	12	EVEN	EVEN	TRUE	-1.90582413132217576e-19	1.03592129449200931e-18	1.22650370762422689e-18	FALSE
0	0	W	4	13	EVEN	ODD	FALSE	6.77626357803440271e-21	0.00000000000000000e+00	6.77626357803440271e-21	FALSE
0	0	W	4	14	EVEN	EVEN	TRUE	-1.32984172718925153e-19	1.05370898638434962e-18	1.18669315910327478e-18	FALSE
0	0	W	4	15	EVEN	ODD	FALSE	0.00000000000000000e+00	-1.35525271560688054e-20	1.35525271560688054e-20	FALSE
0	0	W	4	16	EVEN	EVEN	TRUE	-1.77876918923403071e-19	1.06133228290963832e-18	1.23920920183304140e-18	FALSE
0	0	W	5	5	ODD	ODD	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	9.75781955236953991e-19	TRUE
0	0	W	5	6	ODD	EVEN	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	5	7	ODD	ODD	TRUE	-9.82558218814988393e-20	6.77626357803440271e-19	7.75882179684939111e-19	FALSE
0	0	W	5	8	ODD	EVEN	FALSE	0.00000000000000000e+00	-1.35525271560688054e-20	1.35525271560688054e-20	FALSE
0	0	W	5	9	ODD	ODD	TRUE	-3.75076776956044869e-20	1.06556744764590983e-18	1.10307512534151431e-18	FALSE
0	0	W	5	10	ODD	EVEN	FALSE	0.00000000000000000e+00	6.77626357803440271e-21	6.77626357803440271e-21	FALSE
0	0	W	5	11	ODD	ODD	TRUE	-2.33039939613339381e-19	1.20617491689012368e-18	1.43921485650346306e-18	FALSE
0	0	W	5	12	ODD	EVEN	FALSE	0.00000000000000000e+00	1.69406589450860068e-21	1.69406589450860068e-21	FALSE
0	0	W	5	13	ODD	ODD	TRUE	-1.29543101370704558e-19	1.14095337995154256e-18	1.27049648132224711e-18	FALSE
0	0	W	5	14	ODD	EVEN	FALSE	-1.69406589450860068e-21	1.69406589450860068e-21	3.38813178901720136e-21	FALSE
0	0	W	5	15	ODD	ODD	TRUE	-1.42354474697925851e-19	1.06387338175140123e-18	1.20622785644932708e-18	FALSE
0	0	W	5	16	ODD	EVEN	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	6	6	EVEN	EVEN	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	1.13841228110977966e-18	TRUE
0	0	W	6	7	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	6	8	EVEN	EVEN	TRUE	-1.44842633980485358e-19	9.75781955236953991e-19	1.12062458921743935e-18	FALSE
0	0	W	6	9	EVEN	ODD	FALSE	-1.35525271560688054e-20	0.00000000000000000e+00	1.35525271560688054e-20	FALSE
0	0	W	6	10	EVEN	EVEN	TRUE	-2.40557357020221296e-19	1.15704700594937426e-18	1.39760436296959556e-18	FALSE
0	0	W	6	11	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	6	12	EVEN	EVEN	TRUE	-1.54159996400282662e-19	1.31798326592769133e-18	1.47214326232797399e-18	FALSE
0	0	W	6	13	EVEN	ODD	FALSE	0.00000000000000000e+00	-3.38813178901720136e-21	3.38813178901720136e-21	FALSE
0	0	W	6	14	EVEN	EVEN	TRUE	-1.19431645562856348e-19	1.13925931405703396e-18	1.25869095961989030e-18	FALSE
0	0	W	6	15	EVEN	ODD	FALSE	-6.77626357803440271e-21	-6.77626357803440271e-21	0.00000000000000000e+00	FALSE
0	0	W	6	16	EVEN	EVEN	TRUE	-7.11507675693612285e-20	1.27563161856497631e-18	1.34678238613433754e-18	FALSE
0	0	W	7	7	ODD	ODD	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	1.51788304147970621e-18	TRUE
0	0	W	7	8	ODD	EVEN	FALSE	-2.71050543121376109e-20	0.00000000000000000e+00	2.71050543121376109e-20	FALSE
0	0	W	7	9	ODD	ODD	TRUE	-3.16419745358684570e-19	1.08420217248550443e-18	1.40062191784418900e-18	FALSE
0	0	W	7	10	ODD	EVEN	FALSE	0.00000000000000000e+00	6.77626357803440271e-21	6.77626357803440271e-21	FALSE
0	0	W	7	11	ODD	ODD	TRUE	-1.67130188405114136e-19	1.24937359720009300e-18	1.41650378560520714e-18	FALSE
0	0	W	7	12	ODD	EVEN	FALSE	0.00000000000000000e+00	-6.77626357803440271e-21	6.77626357803440271e-21	FALSE
0	0	W	7	13	ODD	ODD	TRUE	-1.52889446979401211e-19	1.29765447519358812e-18	1.45054392217298933e-18	FALSE
0	0	W	7	14	ODD	EVEN	FALSE	0.00000000000000000e+00	1.69406589450860068e-21	1.69406589450860068e-21	FALSE
0	0	W	7	15	ODD	ODD	TRUE	-5.95040645446145988e-20	1.35440568265962624e-18	1.41390974720424084e-18	FALSE
0	0	W	7	16	ODD	EVEN	FALSE	3.38813178901720136e-21	3.38813178901720136e-21	0.00000000000000000e+00	FALSE
0	0	W	8	8	EVEN	EVEN	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	1.84314369322535754e-18	TRUE
0	0	W	8	9	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	8	10	EVEN	EVEN	TRUE	-2.62580213648833105e-19	1.19262238973405488e-18	1.45520260338288798e-18	FALSE
0	0	W	8	11	EVEN	ODD	FALSE	0.00000000000000000e+00	6.77626357803440271e-21	6.77626357803440271e-21	FALSE
0	0	W	8	12	EVEN	EVEN	TRUE	-1.42725051612349607e-19	1.24090326772755000e-18	1.38362831933989960e-18	FALSE
0	0	W	8	13	EVEN	ODD	FALSE	0.00000000000000000e+00	-6.77626357803440271e-21	6.77626357803440271e-21	FALSE
0	0	W	8	14	EVEN	EVEN	TRUE	-7.03037346221069281e-20	1.51110677790167180e-18	1.58141051252377873e-18	FALSE
0	0	W	8	15	EVEN	ODD	FALSE	0.00000000000000000e+00	-1.01643953670516041e-20	1.01643953670516041e-20	FALSE
0	0	W	8	16	EVEN	EVEN	TRUE	-8.30092288309214332e-20	1.47383732822248259e-18	1.55684655705340402e-18	FALSE
0	0	W	9	9	ODD	ODD	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	1.84314369322535754e-18	TRUE
0	0	W	9	10	ODD	EVEN	FALSE	0.00000000000000000e+00	-2.71050543121376109e-20	2.71050543121376109e-20	FALSE
0	0	W	9	11	ODD	ODD	TRUE	-2.43098455861984197e-19	1.17906986257798607e-18	1.42216831843997027e-18	FALSE
0	0	W	9	12	ODD	EVEN	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	9	13	ODD	ODD	TRUE	-6.33686523664623441e-20	1.44588524096309068e-18	1.50925389332955302e-18	FALSE
0	0	W	9	14	ODD	EVEN	FALSE	6.77626357803440271e-21	-3.38813178901720136e-21	1.01643953670516041e-20	FALSE
0	0	W	9	15	ODD	ODD	TRUE	-8.31151079493282208e-20	1.62630325872825665e-18	1.70941836667758487e-18	FALSE
0	0	W	9	16	ODD	EVEN	FALSE	6.77626357803440271e-21	0.00000000000000000e+00	6.77626357803440271e-21	FALSE
0	0	W	10	10	EVEN	EVEN	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	1.78893358460108232e-18	TRUE
0	0	W	10	11	EVEN	ODD	FALSE	0.00000000000000000e+00	-2.71050543121376109e-20	2.71050543121376109e-20	FALSE
0	0	W	10	12	EVEN	EVEN	TRUE	-1.74488787134385870e-19	1.36880524276294935e-18	1.54329402989733522e-18	FALSE
0	0	W	10	13	EVEN	ODD	FALSE	-6.77626357803440271e-21	0.00000000000000000e+00	6.77626357803440271e-21	FALSE
0	0	W	10	14	EVEN	EVEN	TRUE	-7.45388993583784298e-20	1.57717534778750723e-18	1.65171424714588566e-18	FALSE
0	0	W	10	15	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	10	16	EVEN	EVEN	TRUE	-3.55753837846806142e-20	1.69406589450860068e-18	1.72964127829328129e-18	FALSE
0	0	W	11	11	ODD	ODD	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	1.95156391047390798e-18	TRUE
0	0	W	11	12	ODD	EVEN	FALSE	0.00000000000000000e+00	-2.71050543121376109e-20	2.71050543121376109e-20	FALSE
0	0	W	11	13	ODD	ODD	TRUE	-1.63794996175300328e-19	1.50433051432363740e-18	1.66812551049893773e-18	FALSE
0	0	W	11	14	ODD	EVEN	FALSE	6.77626357803440271e-21	0.00000000000000000e+00	6.77626357803440271e-21	FALSE
0	0	W	11	15	ODD	ODD	TRUE	-2.73168125489511859e-20	1.64154985177883406e-18	1.66886666432778524e-18	FALSE
0	0	W	11	16	ODD	EVEN	FALSE	-3.38813178901720136e-21	-1.01643953670516041e-20	6.77626357803440271e-21	FALSE
0	0	W	12	12	EVEN	EVEN	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	2.05998412772245842e-18	TRUE
0	0	W	12	13	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	12	14	EVEN	EVEN	TRUE	-1.19431645562856348e-19	1.54498809579184382e-18	1.66441974135470017e-18	FALSE
0	0	W	12	15	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	12	16	EVEN	EVEN	TRUE	1.61783292925571365e-19	1.61275073157218785e-18	1.45096743864661648e-18	FALSE
0	0	W	13	13	ODD	ODD	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	2.05998412772245842e-18	TRUE
0	0	W	13	14	ODD	EVEN	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	13	15	ODD	ODD	TRUE	6.47980204649539759e-20	1.53143556863577501e-18	1.46663754817082104e-18	FALSE
0	0	W	13	16	ODD	EVEN	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	14	14	EVEN	EVEN	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	1.84314369322535754e-18	TRUE
0	0	W	14	15	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	14	16	EVEN	EVEN	TRUE	5.33630756770209214e-20	1.59919820441611904e-18	1.54583512873909812e-18	FALSE
0	0	W	15	15	ODD	ODD	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	1.95156391047390798e-18	TRUE
0	0	W	15	16	ODD	EVEN	FALSE	0.00000000000000000e+00	2.71050543121376109e-20	2.71050543121376109e-20	FALSE
0	0	W	16	16	EVEN	EVEN	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	1.95156391047390798e-18	TRUE
0	0	M	0	0	EVEN	EVEN	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	3.25260651745651330e-19	TRUE
0	0	M	0	1	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	M	0	2	EVEN	EVEN	TRUE	-7.96210970419042319e-20	2.71050543121376109e-20	1.06726151354041843e-19	FALSE
0	0	M	0	3	EVEN	ODD	FALSE	0.00000000000000000e+00	-2.71050543121376109e-20	2.71050543121376109e-20	FALSE
0	0	M	0	4	EVEN	EVEN	TRUE	1.48230765769502559e-20	1.38913403349705256e-19	1.24090326772755000e-19	FALSE
0	0	M	0	5	EVEN	ODD	FALSE	6.77626357803440271e-21	0.00000000000000000e+00	6.77626357803440271e-21	FALSE
0	0	M	0	6	EVEN	EVEN	TRUE	-3.81164826264435153e-21	3.65918233213857746e-19	3.69729881476502098e-19	FALSE
0	0	M	0	7	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	M	0	8	EVEN	EVEN	TRUE	2.28698895758661092e-20	2.62580213648833105e-19	2.39710324072966996e-19	FALSE
0	0	M	0	9	EVEN	ODD	FALSE	6.77626357803440271e-21	0.00000000000000000e+00	6.77626357803440271e-21	FALSE
0	0	M	0	10	EVEN	EVEN	TRUE	8.04681299891585322e-21	2.20228566286118088e-19	2.12181753287202235e-19	FALSE
0	0	M	0	11	EVEN	ODD	FALSE	0.00000000000000000e+00	-3.38813178901720136e-21	3.38813178901720136e-21	FALSE
0	0	M	0	12	EVEN	EVEN	TRUE	-1.69406589450860068e-20	2.98155597433513719e-19	3.15096256378599726e-19	FALSE
0	0	M	0	13	EVEN	ODD	FALSE	0.00000000000000000e+00	3.38813178901720136e-21	3.38813178901720136e-21	FALSE
0	0	M	0	14	EVEN	EVEN	TRUE	-1.99052742604760580e-20	5.62429876976855425e-19	5.82335151237331483e-19	FALSE
0	0	M	0	15	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	M	0	16	EVEN	EVEN	TRUE	-2.15146368602592286e-19	3.97258452262266859e-19	6.12404820864859145e-19	FALSE
0	0	M	1	1	ODD	ODD	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	4.33680868994201774e-19	TRUE
0	0	M	1	2	ODD	EVEN	FALSE	1.35525271560688054e-20	0.00000000000000000e+00	1.35525271560688054e-20	FALSE
0	0	M	1	3	ODD	ODD	TRUE	-5.26748614073768023e-20	1.62630325872825665e-19	2.15305187280202467e-19	FALSE
0	0	M	1	4	ODD	EVEN	FALSE	3.38813178901720136e-21	1.35525271560688054e-20	1.01643953670516041e-20	FALSE
0	0	M	1	5	ODD	ODD	TRUE	2.07523072077303583e-20	4.30292737205184572e-19	4.09540429997454214e-19	FALSE
0	0	M	1	6	ODD	EVEN	FALSE	-3.38813178901720136e-21	0.00000000000000000e+00	3.38813178901720136e-21	FALSE
0	0	M	1	7	ODD	ODD	TRUE	-8.04681299891585322e-21	5.35324822664717814e-19	5.43371635663633668e-19	FALSE
0	0	M	1	8	ODD	EVEN	FALSE	0.00000000000000000e+00	-3.38813178901720136e-21	3.38813178901720136e-21	FALSE
0	0	M	1	9	ODD	ODD	TRUE	2.06464280893235708e-20	4.20128341838132968e-19	3.99481913748809397e-19	FALSE
0	0	M	1	10	ODD	EVEN	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	M	1	11	ODD	ODD	TRUE	-8.17916189692433765e-21	4.43845264361253378e-19	4.52024426258177715e-19	FALSE
0	0	M	1	12	ODD	EVEN	FALSE	-8.47032947254300339e-22	0.00000000000000000e+00	8.47032947254300339e-22	FALSE
0	0	M	1	13	ODD	ODD	TRUE	-2.64697796016968856e-20	7.41153828847512797e-19	7.67623608449209682e-19	FALSE
0	0	M	1	14	ODD	EVEN	FALSE	0.00000000000000000e+00	-3.38813178901720136e-21	3.38813178901720136e-21	FALSE
0	0	M	1	15	ODD	ODD	TRUE	-2.03023209545015113e-19	8.30092288309214332e-19	1.03311549785422944e-18	FALSE
0	0	M	1	16	ODD	EVEN	FALSE	-4.23516473627150170e-22	-8.47032947254300339e-22	4.23516473627150170e-22	FALSE
0	0	M	2	2	EVEN	EVEN	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	5.42101086242752217e-19	TRUE
0	0	M	2	3	EVEN	ODD	FALSE	-2.71050543121376109e-20	0.00000000000000000e+00	2.71050543121376109e-20	FALSE
0	0	M	2	4	EVEN	EVEN	TRUE	-4.31986803099693173e-20	4.06575814682064163e-19	4.49774494992033480e-19	FALSE
0	0	M	2	5	EVEN	ODD	FALSE	-2.71050543121376109e-20	0.00000000000000000e+00	2.71050543121376109e-20	FALSE
0	0	M	2	6	EVEN	EVEN	TRUE	2.54109884176290102e-20	5.31936690875700613e-19	5.06525702458071603e-19	FALSE
0	0	M	2	7	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	M	2	8	EVEN	EVEN	TRUE	-8.47032947254300339e-22	6.30192512757199452e-19	6.31039545704453753e-19	FALSE
0	0	M	2	9	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	M	2	10	EVEN	EVEN	TRUE	-1.65171424714588566e-20	5.96311194867027439e-19	6.12828337338486295e-19	FALSE
0	0	M	2	11	EVEN	ODD	FALSE	3.38813178901720136e-21	0.00000000000000000e+00	3.38813178901720136e-21	FALSE
0	0	M	2	12	EVEN	EVEN	TRUE	-3.38813178901720136e-21	8.09763497575111124e-19	8.13151629364128326e-19	FALSE
0	0	M	2	13	EVEN	ODD	FALSE	0.00000000000000000e+00	-3.38813178901720136e-21	3.38813178901720136e-21	FALSE
0	0	M	2	14	EVEN	EVEN	TRUE	-2.14299335655337986e-19	9.02090088825829861e-19	1.11638942448116785e-18	FALSE
0	0	M	2	15	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	M	2	16	EVEN	EVEN	TRUE	-1.60936259978317064e-19	1.01220437196888891e-18	1.17314063194720597e-18	FALSE
0	0	M	3	3	ODD	ODD	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	7.58941520739853104e-19	TRUE
0	0	M	3	4	ODD	EVEN	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	M	3	5	ODD	ODD	TRUE	-4.72485565890289408e-20	4.87890977618476995e-19	5.35139534207505936e-19	FALSE
0	0	M	3	6	ODD	EVEN	FALSE	-1.35525271560688054e-20	-1.35525271560688054e-20	0.00000000000000000e+00	FALSE
0	0	M	3	7	ODD	ODD	TRUE	1.34201782580603210e-20	6.04781524339570442e-19	5.91361346081510121e-19	FALSE
0	0	M	3	8	ODD	EVEN	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	M	3	9	ODD	ODD	TRUE	-3.65282958503417021e-20	8.02987233997076721e-19	8.39515529847418424e-19	FALSE
0	0	M	3	10	ODD	EVEN	FALSE	-1.69406589450860068e-21	0.00000000000000000e+00	1.69406589450860068e-21	FALSE
0	0	M	3	11	ODD	ODD	TRUE	-2.23140242042304746e-20	9.29195143137967472e-19	9.51509167342197947e-19	FALSE
0	0	M	3	12	ODD	EVEN	FALSE	1.69406589450860068e-21	-8.47032947254300339e-22	2.54109884176290102e-21	FALSE
