timestamp	elapsed_seconds	processes	aggregate_rss_kib	mem_available_kib	swap_used_kib
2026-08-04T00:43:35-04:00	2372.743	5	7873024	120462732	3328
2026-08-04T00:44:05-04:00	2402.839	5	7875680	120459040	3328
2026-08-04T00:44:35-04:00	2432.932	5	7885648	120443148	3328
2026-08-04T00:45:05-04:00	2463.032	5	7891008	120436016	3328
2026-08-04T00:45:36-04:00	2493.125	5	7893724	120425164	3328
2026-08-04T00:46:06-04:00	2523.217	5	7896400	120419564	3328
2026-08-04T00:46:36-04:00	2553.314	5	7899088	120416936	3328
2026-08-04T00:47:06-04:00	2583.410	5	7906860	120408004	3328
2026-08-04T00:47:36-04:00	2613.515	5	7912108	120390456	3328
2026-08-04T00:48:06-04:00	2643.612	5	7917636	120375540	3328
2026-08-04T00:48:36-04:00	2673.706	5	7920336	120372744	3328
2026-08-04T00:49:06-04:00	2703.801	5	7923004	120375620	3328
2026-08-04T00:49:36-04:00	2733.903	5	7925696	120364780	3328
2026-08-04T00:50:06-04:00	2763.999	5	7931048	120364996	3328
2026-08-04T00:50:37-04:00	2794.102	5	7939104	120358960	3328
2026-08-04T00:51:07-04:00	2824.212	5	7944372	120337196	3328
2026-08-04T00:51:37-04:00	2854.317	5	7947084	120330388	3328
2026-08-04T00:52:07-04:00	2884.427	5	7949780	120335388	3328
2026-08-04T00:52:37-04:00	2914.526	5	7952472	120324744	3328
2026-08-04T00:53:07-04:00	2944.622	5	7962128	120315204	3328
2026-08-04T00:53:37-04:00	2974.725	5	7964816	120321504	3328
2026-08-04T00:54:07-04:00	3004.814	5	7969844	120303580	3328
2026-08-04T00:54:37-04:00	3034.914	5	7972528	120297708	3328
2026-08-04T00:55:07-04:00	3065.009	5	7975204	120292176	3328
2026-08-04T00:55:33-04:00	3090.088	5	7983680	120279200	3328
2026-08-04T00:56:03-04:00	3120.183	5	7986388	120271720	3328
2026-08-04T00:56:33-04:00	3150.287	5	7991116	120264260	3328
2026-08-04T00:57:03-04:00	3180.378	5	7993800	120264256	3328
2026-08-04T00:57:33-04:00	3210.476	5	8002492	120260544	3328
2026-08-04T00:58:03-04:00	3240.566	5	8008228	120261076	3328
2026-08-04T00:58:33-04:00	3270.667	5	8013936	120251732	3328
2026-08-04T00:59:03-04:00	3300.767	5	8016608	120244364	3328
2026-08-04T00:59:33-04:00	3330.872	5	8019300	120234924	3328
2026-08-04T01:00:03-04:00	3360.968	5	8026268	120225096	3328
2026-08-04T01:00:33-04:00	3391.065	5	8031016	120223520	3328
2026-08-04T01:01:04-04:00	3421.155	5	8035748	120236656	3328
2026-08-04T01:01:34-04:00	3451.244	5	8038424	120226868	3328
2026-08-04T01:02:04-04:00	3481.337	5	8041120	120216368	3328
2026-08-04T01:02:34-04:00	3511.434	4	6442468	120281972	3328
2026-08-04T01:03:04-04:00	3541.529	3	4837740	120351744	3328
2026-08-04T01:03:34-04:00	3571.626	17	27275268	119980400	3328
2026-08-04T01:04:04-04:00	3601.726	17	27324492	119597376	3328
2026-08-04T01:04:34-04:00	3631.830	17	27324492	119342800	3328
2026-08-04T01:05:04-04:00	3661.923	17	27324492	119101756	3328
2026-08-04T01:05:34-04:00	3692.029	17	27324492	118869464	3328
2026-08-04T01:06:05-04:00	3722.130	17	27324492	118636592	3328
2026-08-04T01:06:35-04:00	3752.237	17	27324492	118414976	3328
2026-08-04T01:07:05-04:00	3782.332	17	27324492	118170516	3328
2026-08-04T01:07:35-04:00	3812.433	17	27324720	117921952	3328
2026-08-04T01:08:05-04:00	3842.530	17	27331008	117693044	3328
2026-08-04T01:08:35-04:00	3872.628	17	27337812	117458524	3328
2026-08-04T01:09:05-04:00	3902.726	17	27344100	117232976	3328
2026-08-04T01:09:35-04:00	3932.820	17	27350380	116993260	3328
2026-08-04T01:10:05-04:00	3962.915	17	27357980	116747116	3328
2026-08-04T01:10:35-04:00	3993.010	17	27364288	116526368	3328
2026-08-04T01:11:06-04:00	4023.107	17	27370576	116286016	3328
2026-08-04T01:11:36-04:00	4053.199	17	27376860	116072424	3328
2026-08-04T01:12:06-04:00	4083.305	17	27383652	115841380	3328
2026-08-04T01:12:36-04:00	4113.404	17	27403400	115613988	3328
2026-08-04T01:13:06-04:00	4143.502	17	27453548	115393936	3328
2026-08-04T01:13:36-04:00	4173.600	17	27498308	115210108	3328
2026-08-04T01:14:06-04:00	4203.699	17	27541272	115000380	3328
2026-08-04T01:14:36-04:00	4233.798	17	27587844	114783516	3328
2026-08-04T01:15:06-04:00	4263.894	17	27630828	114577848	3328
2026-08-04T01:15:36-04:00	4294.057	17	27673804	114388180	3328
2026-08-04T01:16:07-04:00	4324.154	17	27718584	114231832	3328
2026-08-04T01:16:37-04:00	4354.264	17	27768720	114014240	3328
2026-08-04T01:17:07-04:00	4384.362	17	27813488	113816316	3328
2026-08-04T01:17:37-04:00	4414.496	17	27856472	113618152	3328
2026-08-04T01:18:07-04:00	4444.626	17	27899444	113404940	3328
2026-08-04T01:18:37-04:00	4474.730	17	27942464	113198356	3328
2026-08-04T01:19:07-04:00	4504.824	1	4800152	117253888	3328
2026-08-04T01:19:37-04:00	4534.919	1	4877148	117180280	3328
2026-08-04T01:20:07-04:00	4565.015	5	15397076	118935180	3328
2026-08-04T01:20:33-04:00	4590.086	5	15397852	118936840	3328
